Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
277	Legoland / Construction	371-1	Tipper Truck	1971	5	? x ? x ?
423	Classic / Vehicle / Traffic	313-1	London Bus	1966	5	? x ? x ?
277	Legoland / Airport	371-3	Seaplane	1977	6.6	? x ? x ?
277	Legoland / Vehicle / Traffic	372-2	Tow Truck	1971	5	? x ? x ?
277	Legoland / Hospital	373-2	Ambulance	1971	3.3	15 x 10 x 5
277	Legoland / Fire	374-2	Fire Engine	1971	6.6	? x ? x ?
277	Legoland / Vehicle / Food & Drink	375-3	Refrigerator Truck and Trailer	1971	5	25 x 10 x 5
277	Legoland / Construction	376-1	Low-Loader with Excavator	1971	6.6	? x ? x ?
277	Legoland / Construction	377-2	Crane with Float Truck	1971	6.6	? x ? x ?
277	Legoland / Vehicle / Farm	378-1	Tractor	1972	5	20 x 10 x 4.8
277	Legoland / Vehicle / Traffic	379-2	Car and Caravan	1972	5	20 x 10 x 5
277	Legoland / Construction	381-1	Lorry and Fork Lift Truck	1973	5	? x ? x ?
277	Legoland / Vehicle / Traffic	382-1	Breakdown Truck and Car	1973	5	? x ? x ?
277	Legoland / Construction	383-1	Truck with Excavator	1973	5	? x ? x ?
277	Legoland / Vehicle / Off-Road	385-1	Jeep CJ-5	1976	6.6	? x ? x ?
277	Legoland / Airport	456-1	Spirit of St. Louis	1977	3.4	15 x 6.5 x 4
277	Legoland / Vehicle / Race	491-1	Formula 1 Racer	1977	3.4	? x ? x ?
277	Legoland / Construction	614-1	Excavator	1974	3.4	10 x 6.5 x 4
277	Legoland / Construction	642-2	Double Excavator	1971	3.4	15 x 6.5 x 4
277	Legoland / Airport	661-1	Spirit of St. Louis	1976	3.4	? x ? x ?
277	Legoland / Construction	662-1	Dumper Lorry	1976	3.4	15 x 6.5 x 4
277	Legoland / Vehicle / Race	695-1	Racing Car	1976	3.4	? x ? x ?
277	Legoland / Vehicle / Off-Road	711-1	Jeep CJ-5	1977	5.03	? x ? x ?
277	Legoland / Airport	712-1	Sea Plane	1977	?	? x ? x ?
277	Legoland / Construction	730-1	Steam Shovel with Carrier	1973	5.1	? x ? x ?
277	Legoland / Vehicle / Traffic	760-2	London Bus	1975	5	18 x 12 x 5
227	Harry Potter / Sorcerer's Stone	4711-1	Flying Lesson	2002	2	9.5 x 9.5 x 4.5
227	Harry Potter / Sorcerer's Stone	4712-1	Troll on the Loose	2002	17.5	14.5 x 19.1 x 4.8
227	Harry Potter / Sorcerer's Stone	4714-1	Gringott's Bank	2002	68	28.7 x 28.6 x 5.9
102	Scala	3123-1	Emma's Chill-Out Kitchen	2001	?	28.6 x 23.6 x 5.8
174	Studios	1411-1	Pirate's Treasure Hunt - Quaker Oats Promotional polybag	2001	?	? x ? x ?
277	Legoland / Airport	455-1	Learjet (Lear Jet)	1975	1.7	15 x 6.6 x 4
277	Legoland / Airport	609-1	Aeroplane	1972	3.4	10 x 6.5 x 4
273	Bionicle / Turaga	1417-1	Vakama (Kabaya Promotional)	2001	?	? x ? x ?
422	Universal Building Set / Basic Set	2494-1	400-Piece Purple Bucket	1998	?	? x ? x ?
171	Creator / Basic Set	4810-1	Small Bucket	2001	?	? x ? x ?
423	Classic / Vehicle / Airport	328-2	Biplane	1967	5	10.2 x 10 x 5
273	Bionicle / Turaga	1418-1	Matau (Kabaya Promotional)	2001	?	? x ? x ?
273	Bionicle / Turaga	1419-1	Nokama (Kabaya Promotional)	2001	?	? x ? x ?
273	Bionicle / Turaga	1420-1	Nuju (Kabaya Promotional)	2001	?	? x ? x ?
174	Studios	1421-1	Director's Copter (Kabaya Promotional)	2001	2	? x ? x ?
174	Studios	1422-1	Camera Cart (Kabaya Promotional)	2001	2	? x ? x ?
174	Studios	1423-1	Air Boat (Kabaya Promotional)	2001	2	? x ? x ?
174	Studios	1424-1	Stunt Go-Kart (Kabaya Promotional)	2001	2	? x ? x ?
473	Sports / Soccer	3420-1	Championship Challenge II	2002	54	48 x 28.5 x 7
388	Building Set with People / Western / Indians	215-1	Red Indians	1977	5	16.5 x 10 x 4
388	Building Set with People / Building	251-1	Windmill with Miller and his Wife	1974	6.6	24 x 12 x 5
388	Building Set with People / Police	256-1	Police Officers and Motorcycle	1976	6.6	16 x 9.8 x 4.2
423	Classic / Vehicle / Construction	337-2	Truck with Crane and Caterpillar Track	1969	6.6	25 x 10 x 5
277	Legoland / Fire	347-1	Fire Station with Mini Cars	1970	6.6	? x ? x ?
277	Legoland / Police	354-1	Police Heliport	1972	6.6	? x ? x ?
277	Legoland / Building	368-1	Taxi Station	1976	12	30 x 15 x 5
277	Legoland / Coast Guard	369-1	Coast Guard Station	1976	19.7	? x ? x ?
