number,num_part_types,num_parts,parts_weight,num_missing_parts,pct_missing_parts
6382-1,102,381,627.0000000000003,4.0,0.010498687664041995
8491-1,42,86,199.75,0.0,0.0
3049-1,23,78,755.11,1.0,0.01282051282051282
6115-1,15,23,17.720000000000002,1.0,0.043478260869565216
3148-1,84,182,571.1600000000002,10.0,0.054945054945054944
4011-1,48,85,269.2699999999999,2.0,0.023529411764705882
41775-2,12,12,0.0,12.0,1.0
1360-1,18,21,12.4,2.0,0.09523809523809523
2973-1,1,1,0.0,1.0,1.0
75008-1,35,60,88.29,1.0,0.016666666666666666
70107-1,68,103,86.59000000000002,6.0,0.05825242718446602
41105-1,148,471,401.9160000000001,2.0,0.004246284501061571
40008-1,34,67,28.77000000000001,0.0,0.0
76126-1,271,851,758.6700000000005,6.0,0.007050528789659225
10169-1,29,54,44.96000000000001,0.0,0.0
71267-1,57,125,54.81000000000002,1.0,0.008
8042-1,74,251,346.7299999999999,0.0,0.0
8681-1,238,723,745.2700000000008,0.0,0.0
41089-1,26,47,41.89000000000001,0.0,0.0
5423-1,2,2,0.0,2.0,1.0
66546-1,3,3,0.0,3.0,1.0
71024-1,18,18,0.0,18.0,1.0
5140-1,11,62,110.32,0.0,0.0
75234-1,221,691,503.71000000000026,5.0,0.00723589001447178
6229-1,22,41,81.97999999999998,0.0,0.0
3027-1,119,419,547.3199999999998,0.0,0.0
1014-2,77,80,681.7000000000011,0.0,0.0
6435-1,134,224,667.9200000000001,6.0,0.026785714285714284
70736-1,213,689,508.0099999999998,6.0,0.008708272859216255
5592-1,8,9,132.07,2.0,0.2222222222222222
75201-1,165,377,275.3550000000002,4.0,0.010610079575596816
5149-1,12,39,51.57000000000001,0.0,0.0
5836-1,21,25,45.190000000000005,2.0,0.08
4738-1,169,494,488.4900000000001,5.0,0.010121457489878543
10056-1,6,56,68.28000000000002,0.0,0.0
10546-1,30,40,444.98,2.0,0.05
41128-1,98,220,190.71499999999997,1.0,0.004545454545454545
41517-1,35,72,35.326,0.0,0.0
5458-1,7,7,110.0,2.0,0.2857142857142857
4106-1,89,500,581.3599999999998,0.0,0.0
75083-1,179,511,416.9850000000001,4.0,0.007827788649706457
10246-1,491,2347,1905.3420000000017,6.0,0.0025564550489987218
71220-1,33,57,30.919999999999995,1.0,0.017543859649122806
9397-1,181,1358,1636.429999999999,0.0,0.0
75903-1,215,462,501.74,4.0,0.008658008658008658
9089-1,40,158,1745.1300000000003,5.0,0.03164556962025317
9660-1,36,123,1140.9699999999998,18.0,0.14634146341463414
4792-1,52,91,88.94,1.0,0.01098901098901099
5597-1,23,28,392.48,1.0,0.03571428571428571
2361-1,12,23,259.04999999999995,0.0,0.0
41534-1,28,62,31.476,0.0,0.0
10213-1,283,1283,1314.7500000000005,3.0,0.002338269680436477
7312-1,52,105,115.46999999999997,1.0,0.009523809523809525
5220-1,63,226,144.995,0.0,0.0
2916-1,21,32,695.3000000000001,1.0,0.03125
9234-1,51,77,1501.32,8.0,0.1038961038961039
8384-1,42,84,225.3,0.0,0.0
10127-1,35,59,89.87499999999997,0.0,0.0
41119-1,231,500,442.72100000000034,2.0,0.004
5944-1,29,39,55.02000000000001,0.0,0.0
70231-1,49,70,35.99,3.0,0.04285714285714286
6036-1,41,66,95.81000000000003,2.0,0.030303030303030304
7879-1,243,832,777.1300000000002,8.0,0.009615384615384616
853687-1,12,15,4.890000000000001,3.0,0.2
40125-1,89,181,100.59999999999998,1.0,0.0055248618784530384
5577-1,15,65,544.52,0.0,0.0
8880-1,203,1410,1854.0050000000006,0.0,0.0
3716-1,6,9,15.309999999999999,1.0,0.1111111111111111
3449-1,3,15,60.5,0.0,0.0
5383-1,23,29,14.92,1.0,0.034482758620689655
10692-1,130,239,230.06200000000013,0.0,0.0
4621-1,24,38,138.87,2.0,0.05263157894736842
1298-1,24,24,0.0,24.0,1.0
7092-1,68,182,228.38999999999996,5.0,0.027472527472527472
60200-1,502,1234,1570.82,13.0,0.01053484602917342
75194-1,48,92,55.35,1.0,0.010869565217391304
75953-1,283,787,670.8300000000007,8.0,0.010165184243964422
76002-1,56,122,104.3,2.0,0.01639344262295082
8702-1,50,118,300.28,0.0,0.0
3723-1,93,1851,2813.3650000000002,0.0,0.0
5117-1,4,7,5.87,0.0,0.0
7111-1,30,64,85.68,0.0,0.0
60181-1,84,184,286.51,1.0,0.005434782608695652
31093-1,169,413,306.67900000000037,2.0,0.004842615012106538
41606-1,57,119,75.02,0.0,0.0
9391-1,65,229,138.45999999999998,0.0,0.0
41162-1,144,294,260.18,3.0,0.01020408163265306
3479-1,1,25,80.25,0.0,0.0
71023-2,20,20,0.0,20.0,1.0
6206-1,67,219,300.26,1.0,0.0045662100456621
75112-1,50,188,277.60500000000013,0.0,0.0
4023-1,27,56,60.33,1.0,0.017857142857142856
7964-1,265,1095,1221.1250000000011,5.0,0.0045662100456621
8968-1,110,215,167.03,3.0,0.013953488372093023
6758-1,17,18,153.5,1.0,0.05555555555555555
60045-1,223,436,493.40499999999986,3.0,0.006880733944954129
40358-1,93,153,79.93999999999994,4.0,0.026143790849673203
3354-1,11,13,360.75,0.0,0.0
4589-1,80,154,668.7899999999998,1.0,0.006493506493506494
7045-1,133,276,395.19000000000005,2.0,0.007246376811594203
41455-1,162,293,293.6200000000001,17.0,0.05802047781569966
60234-1,112,156,84.30999999999999,14.0,0.08974358974358974
6455-1,135,252,379.0150000000003,3.0,0.011904761904761904
75186-1,239,760,755.5849999999995,5.0,0.006578947368421052
10572-1,38,65,551.96,1.0,0.015384615384615385
42070-1,195,1896,2993.0200000000023,0.0,0.0
6194-1,137,532,756.5899999999996,2.0,0.0037593984962406013
75005-1,102,364,639.1600000000001,4.0,0.01098901098901099
2232-1,27,52,117.54,0.0,0.0
5981-1,63,80,70.54499999999999,2.0,0.025
7330-1,22,25,219.80999999999997,1.0,0.04
75127-1,53,108,65.45000000000003,1.0,0.009259259259259259
6814-1,12,20,25.96,1.0,0.05
9222-1,18,18,0.0,18.0,1.0
1123-1,4,8,9.32,0.0,0.0
6157-1,83,154,1986.8799999999999,4.0,0.025974025974025976
6088-1,106,265,419.83,4.0,0.01509433962264151
10737-1,40,56,89.43,2.0,0.03571428571428571
3729-1,1,50,115.99999999999999,0.0,0.0
7783-1,291,1099,1768.263000000001,8.0,0.007279344858962694
7636-1,144,390,617.5700000000002,2.0,0.005128205128205128
3558-1,27,41,21.495,0.0,0.0
850936-1,8,9,38.519999999999996,1.0,0.1111111111111111
