Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
568	Exo-Force	8108-1	Mobile Devastator	2007	?	65 x 38.5 x 9.2
9	Castle / Knights Kingdom I	K10176-1	Classic Castle	2006	?	? x ? x ?
124	Train / Supplemental / RC Train	7996-1	Double Crossover Track	2007	117	28.6 x 28.6 x 4.6
167	Duplo / Basic Set	1918-1	McDonald's Happy Meal & Duplo Building Sets polybag	1983	?	? x ? x ?
568	Exo-Force	3886-1	Ryo Walker polybag	2007	1	13.8 x 13.8 x 1.5
171	Creator / Basic Model / Construction	7875-1	Digger polybag	2007	1.61	13.8 x 13.8 x 1.5
423	Classic / Supplemental	1225-2	Mixed Plates Parts Pack	1955	10	8.7 x 6.4 x 2.5
423	Classic / Supplemental	1245-2	Lighting Device Pack	1957	10	8.7 x 6.4 x 2.5
171	Creator / Basic Model / Creature	7872-1	Lion polybag	2007	1.59	13.8 x 13.8 x 1.5
171	Creator / Basic Model / Airport	7873-1	Jet Plane polybag	2007	1.58	13.8 x 13.8 x 1.5
167	Duplo / Basic Set	5527-1	Canister	2007	?	22.5 x 22.5 x 27.7
124	Train / Supplemental / 4.5V	139A-1	Electronic Control Unit (Forward - Stop)	1969	?	15 x 10 x 3.4
423	Classic / Supplemental	1242-2	International Flags	1957	10	6.4 x 8.7 x 2.5
423	Classic / Supplemental	1242D-1	5 Danish Flags	1957	10	6.4 x 8.7 x 2.5
423	Classic / Supplemental	1215-2	2 x 8 & 2 x 10 Bricks	1955	10	8.7 x 6.4 x 2.5
423	Classic / Supplemental	1216-2	4 x 4 Corner Bricks	1955	10	8.7 x 6.4 x 2.5
423	Classic / Supplemental	1217-2	2 x 4 Bricks	1955	10	6.4 x 8.7 x 2.5
423	Classic / Supplemental	1218-2	2 x 3 Bricks	1955	10	8.7 x 6.4 x 2.5
423	Classic / Supplemental	1219-2	2 x 2 Bricks	1955	10	8.7 x 6.4 x 2.5
423	Classic / Supplemental	224-1	2 x 2 & 2 x 4 Curved Bricks	1956	?	? x ? x ?
423	Classic / Supplemental	1223-3	2 x 2 Curved Bricks	1957	10	8.7 x 6.4 x 2.5
423	Classic / Supplemental	1224.1-1	8 Danish Named Beams	1955	10	8.7 x 6.4 x 2.5
423	Classic / Supplemental	242I-1	International Flags	1958	?	? x ? x ?
423	Classic / Supplemental	242-2	5 Danish Flags	1958	?	? x ? x ?
423	Classic / Supplemental	700.B-1	Early LEGO Windows/Doors (without Glass)	1953	?	? x ? x ?
423	Classic / Supplemental	700.C-1	Tall Classic Windows/Door (with Glass)	1954	?	? x ? x ?
395	Samsonite / Supplemental	225.A-1	1 x 6 Beams	1961	?	? x ? x ?
395	Samsonite / Supplemental	225.B-1	1 x 8 Beams	1961	?	? x ? x ?
395	Samsonite / Supplemental	227.L-1	4 x 8 Left Curve Plates	1961	?	? x ? x ?
395	Samsonite / Supplemental	227.R-1	4 x 8 Right Curve Plates	1961	?	? x ? x ?
423	Classic / Supplemental	229.1-1	2 x 8 Plates	1962	5	? x ? x ?
395	Samsonite / Supplemental	229.A-1	6 x 8 Plates	1961	?	? x ? x ?
395	Samsonite / Supplemental	229.B-1	2 x 8 Plates	1961	?	? x ? x ?
179	Racers / Ferrari	8142-2	Ferrari 248 F1 1:24 (Alice version)	2007	?	28.5 x 28.5 x 4.7
423	Classic / Supplemental	1231-3	Windows and Door with Glass, White	1956	10	8.7 x 6.4 x 2.5
179	Racers / Tiny Turbos	8147-1	Bullet Run	2007	245	38 x 38 x 7
423	Classic / Supplemental	700.H-1	Individual 4 x 4 Corner Bricks	1954	?	? x ? x ?
423	Classic / Supplemental	700.1.4-1	Individual 1 x 2 Bricks	1953	?	? x ? x ?
423	Classic / Supplemental	700.1.2-1	Individual 2 x 2 Bricks	1950	?	? x ? x ?
423	Classic / Supplemental	700.3.4-1	Individual 2 x 3 Bricks	1953	?	? x ? x ?
423	Classic / Supplemental	700.1.1-1	Individual 2 x 4 Bricks	1950	?	? x ? x ?
423	Classic / Supplemental	700.16-1	Individual 2 x 8 Bricks	1954	?	? x ? x ?
423	Classic / Supplemental	700.20-1	Individual 2 x 10 Bricks	1954	?	? x ? x ?
423	Classic / Supplemental	700.24-1	Individual 2 x 12 Bricks	1954	?	? x ? x ?
423	Classic / Supplemental	700.28-1	Individual 2 x 14 Bricks	1954	?	? x ? x ?
423	Classic / Supplemental	700.B.1-1	Individual 1 x 4 x 2 Window (without glass)	1950	?	? x ? x ?
423	Classic / Supplemental	700.B.2-1	Individual 1 x 2 x 3 Window (without glass)	1950	?	? x ? x ?
423	Classic / Supplemental	700.B.3-1	Individual 1 x 2 x 2 Window (without glass)	1950	?	? x ? x ?
423	Classic / Supplemental	700.B.4-1	Individual 1 x 2 x 4 Door (without glass)	1950	?	? x ? x ?
423	Classic / Supplemental	700.C.1-1	Individual 1 x 6 x 4 Panorama Window (with glass)	1954	?	? x ? x ?
423	Classic / Supplemental	700.C.2-1	Individual 1 x 6 x 3 3-Pane Window (with glass)	1954	?	? x ? x ?
423	Classic / Supplemental	700.C.3-1	Individual 1 x 6 x 3 Shutter Window (with glass)	1954	?	? x ? x ?
423	Classic / Supplemental	700.C.4-1	Individual 1 x 4 x 3 Window (with glass)	1954	?	? x ? x ?
423	Classic / Supplemental	700.C.5-1	Individual 1 x 3 x 3 Window (with glass)	1954	?	? x ? x ?
423	Classic / Supplemental	700.C.6-1	Individual 1 x 2 x 4 Door (with glass)	1954	?	? x ? x ?
423	Classic / Supplemental	435-2	Garage Plate and Door (The Building Toy)	1966	11	14.5 x 6.5 x 2.3
423	Classic / HO 1:87 Vehicles	472-1	1:87 Nine Models	1964	?	28 x 12 x 2.8
573	SpongeBob SquarePants	4982-1	Mrs. Puff's Boating School	2007	208	47.9 x 28.5 x 5.8
573	SpongeBob SquarePants	4981-1	The Chum Bucket	2007	170	38.2 x 28.5 x 4.7
169	Sculptures	10181-1	Eiffel Tower 1:300 Scale	2007	531	64.77 x 47.75 x 9.14
53	Adventurers / Orient Expedition	kaborient-1	Orient Expedition 3-Pack (canned versions of 7422, 7423, 7424)	2003	?	? x ? x ?
166	Educational & Dacta / Classic / Wooden Box Set	700L-1	Empty Kindergarten LEGO Box	1961	?	? x ? x ?
166	Educational & Dacta / Classic / Wooden Box Set	7-4	Educational Box - Empty	1973	?	? x ? x ?
166	Educational & Dacta / Classic / Wooden Box Set	90-2	Educational Box - Empty	1965	?	? x ? x ?
179	Racers / Tiny Turbos	8135-1	Bridge Chase	2007	210	47.7 x 28.5 x 5.8
167	Duplo / Basic Set	1653-1	Container	1989	?	? x ? x ?
273	Bionicle / Warriors	8939-1	Lesovikk	2007	103	28.5 x 5.9 x 23.7
273	Bionicle	6945-1	Bad Guy 07	2007	?	? x ? x ?
