Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
62	Rock Raiders	1277-1	Drill Craft	2000	16.52	? x ? x ?
53	Adventurers / Dino Island	1278-1	Johnny Thunder & Baby T	2000	53	? x ? x ?
53	Adventurers / Dino Island	1279-1	Aeroplane	2000	53	? x ? x ?
153	Fabuland	128-1	Taxi Station	1979	?	? x ? x ?
53	Adventurers / Dino Island	1280-1	Microcopter	2000	52	? x ? x ?
53	Adventurers / Dino Island	1281-1	Aeroplane	2000	57	? x ? x ?
67	Town / Race	1282-1	Blue Racer	2000	?	? x ? x ?
67	Town / Race	1283-1	Red Scorpion	2000	54	? x ? x ?
67	Town / Race	1284-1	Green Buggy polybag	2000	?	? x ? x ?
9	Castle / Knights Kingdom I	1286-1	King Leo's Cart	2000	49.3	9.9 x 13.4 x 3.5
9	Castle / Knights Kingdom I	1287-1	Crossbows	2000	?	? x ? x ?
9	Castle / Knights Kingdom I	1288-1	Fire Cart	2000	?	? x ? x ?
9	Castle / Knights Kingdom I	1289-1	Catapult	2000	?	? x ? x ?
124	Train / 4.5V	128-2	Mobile Crane (Train Base)	1972	?	? x ? x ?
124	Train / 4.5V	130-1	Wagon with Double Tippers	1972	?	? x ? x ?
124	Train / 4.5V	131-1	Passenger Coach	1972	143	20.1 x 10 x 5
153	Fabuland	132-1	Cottage	1979	160	20 x 10 x 5
124	Train / 4.5V	132-2	Port Crane and Flat Waggon	1972	?	? x ? x ?
124	Train / 4.5V	133-1	Locomotive (Push)	1975	?	20 x 10 x 5.1
153	Fabuland	134-2	Service Station	1979	?	? x ? x ?
124	Train / 4.5V	134-1	Mobile Crane and Waggon	1975	?	? x ? x ?
124	Train / 4.5V	136-1	Tanker Waggon (Shell)	1975	185	20.1 x 10 x 5
124	Train / 4.5V	137-2	Passenger Sleeping Car	1975	?	? x ? x ?
153	Fabuland / Hospital	137-1	Hospital	1979	?	? x ? x ?
124	Train / 4.5V	138-1	Electronic Train	1969	?	? x ? x ?
124	Train / Supplemental / 4.5V	139-1	Electronic Control Unit (Forward/Backward - Stop)	1969	?	? x ? x ?
153	Fabuland	140-1	Town Hall	1979	?	? x ? x ?
124	Train / 4.5V	146-1	Level Crossing	1976	?	? x ? x ?
67	Town / Classic Town / Race	1461-1	Turbo Force polybag	1992	26	13.8 x 14.5 x 1.5
34	Space / Blacktron II	1462-1	Galactic Scout polybag	1992	20	? x ? x ?
9	Castle / Crusaders	1463-1	Treasure Cart polybag	1992	20	14.5 x 14 x 1.5
61	Pirates / Pirates I	1464-1	Pirate Lookout polybag	1992	22	14 x 14.5 x 1.5
67	Town / Classic Town / Race	1467-1	Shell Race Car polybag	1986	?	? x ? x ?
422	Universal Building Set / Airport	1469-1	Helicopter polybag	1986	55	? x ? x ?
124	Train / 4.5V	147-1	Refrigerated Car with Forklift	1976	?	? x ? x ?
67	Town / Classic Town / Airport	1475-1	Airport Security Squad	1991	155	19 x 14.3 x 4.5
290	Value Packs	1476-1	5 Set Bonus Pack	1991	?	24.3 x 28.5 x 4.7
67	Town / Classic Town / Race	1477-1	{Red Race Car Number 3}	1991	?	? x ? x ?
34	Space / M:Tron	1478-1	Mobile Satellite Up-Link	1991	?	? x ? x ?
34	Space / Blacktron II	1479-1	2-Pilot Craft	1991	?	? x ? x ?
124	Train / 4.5V	148-1	Central Station	1975	?	? x ? x ?
9	Castle / Crusaders	1480-1	King's Catapult	1991	?	? x ? x ?
61	Pirates / Pirates I	1481-1	Desert Island	1991	?	? x ? x ?
67	Town / Classic Town / Building	1484-1	Weetabix Town House	1987	470	28.7 x 19 x 4.5
67	Town / Classic Town / Wrecker	1489-1	Mobile Car Crane	1989	265	25 x 16 x 5
